
TimeEdit,Université libre de Bruxelles
M-IRPHP:1,17/09/2023 - 31/12/2023,
Date de début,Heure de début,Date de fin,Heure de fin,Cours,Info,Type de réservation,Salle,Niveau 
06/10/2023,14:00,06/10/2023,18:00,MATHH401,,Travaux pratiques,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
09/10/2023,08:00,09/10/2023,10:00,BIMEH407,Local: S.L.3.219,Théorie,,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
09/10/2023,10:00,09/10/2023,12:00,PHYSH401,,Théorie,S.UA4.222,M-IRPHP:1
09/10/2023,16:00,09/10/2023,18:00,BIMEH407,,Théorie,S.K.4.601,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
10/10/2023,08:00,10/10/2023,10:00,"MATHH401, MATHH507",,Théorie,S.DB.3.241 - Salle Alain Dubus,"M-IRCBS:2 - Electives courses, M-IRPHP:1"
10/10/2023,10:00,10/10/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
10/10/2023,14:00,10/10/2023,16:00,MATHH401,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
11/10/2023,08:00,11/10/2023,10:00,PHYSH401,,Exercices,S.UA4.218,M-IRPHP:1
11/10/2023,10:00,11/10/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
12/10/2023,08:00,12/10/2023,10:00,PHYSH401,,Théorie,S.UB4.228,M-IRPHP:1
12/10/2023,10:00,12/10/2023,12:00,BIMEH407,,Théorie,S.UA4.222,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
12/10/2023,14:00,12/10/2023,18:00,PROJH403,,Projet,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
13/10/2023,08:00,13/10/2023,12:00,PROJH403,,Projet,,M-IRPHP:1
13/10/2023,14:00,13/10/2023,18:00,MATHH401,,Travaux pratiques,,M-IRPHP:1
16/10/2023,08:00,16/10/2023,10:00,BIMEH407,Local: S.L.3.219,Théorie,,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
16/10/2023,10:00,16/10/2023,12:00,PHYSH401,,Théorie,S.AY2.112,M-IRPHP:1
16/10/2023,16:00,16/10/2023,18:00,BIMEH407,,Théorie,S.K.4.601,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
17/10/2023,08:00,17/10/2023,10:00,"MATHH401, MATHH507",,Théorie,S.DB.3.241 - Salle Alain Dubus,"M-IRCBS:2 - Electives courses, M-IRPHP:1"
17/10/2023,10:00,17/10/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
17/10/2023,14:00,17/10/2023,16:00,MATHH401,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
18/10/2023,08:00,18/10/2023,10:00,PHYSH401,,Exercices,S.UA4.218,M-IRPHP:1
18/10/2023,10:00,18/10/2023,12:00,PHYSH406,,Théorie,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
19/10/2023,08:00,19/10/2023,10:00,PHYSH401,,Théorie,S.UB2.147,M-IRPHP:1
19/10/2023,10:00,19/10/2023,12:00,BIMEH407,,Théorie,S.UA4.222,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
19/10/2023,14:00,19/10/2023,18:00,PROJH403,,Projet,S.DB.3.241 - Salle Alain Dubus,M-IRPHP:1
20/10/2023,08:00,20/10/2023,12:00,PROJH403,,Projet,,M-IRPHP:1
20/10/2023,14:00,20/10/2023,18:00,MATHH401,,Travaux pratiques,,M-IRPHP:1
23/10/2023,08:00,23/10/2023,10:00,BIMEH407,Local: S.L.3.219,Théorie,,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
23/10/2023,10:00,23/10/2023,12:00,PHYSH401,,Théorie,S.AY2.112,M-IRPHP:1
23/10/2023,16:00,23/10/2023,18:00,BIMEH407,,Théorie,S.K.4.601,"M-IRBCS:2 - Biotechnologies moléculaire et cellulaire, M-IRCBS:1, M-IRPHP:1"
24/10/2023,08:00,24/10/2023,10:00,"MATHH401, MATHH507",,Théorie,S.DB.3.241 - Salle Alain Dubus,"M-IRCBS:2 - Electives courses, M-IRPHP:1"
